Category,Message
spam,ተመለስ 2 ሥራ 2 ሰዓት 2 ሰዓት ግማሽ ጊዜእኔ 2nite 4 የተወሰነ የፍትወት ፍላጎት ቢ 4 እጥፍ አለኝ?ቻት አሁን 09099726481 LUV DENENE £ 1 / Mocmoss.lobslkobox177hp51fl
ham,ሊበላሽ ይፈልጋሉ?:)
spam,"ስለ የደወል የስልክ ጥሪነትዎ እናመሰግናለን, Ref ቁጥር R836.ሞባይልዎ £ 4.50 ክስ ይሰነዝራል.የእርስዎ ድምፅዎ መድረስ የለበትም እባክዎን ለደንበኞች አገልግሎቶች በ 09065069154 ይደውሉ"
spam,Splash ሞባይል-እያንዳንዱ WK ከ 1000 ዎቹ ዓ.ም.ይህ በየሳምንቱ ከ 300 ፒ ዶላር ጋር የሚወጣው የደንበኝነት ምዝገባ ነው.አንድ ዱቤ አለዎት - ተመልሰው ይደሰቱ እና ይደሰቱ
ham,እሱን አሳዩዋታል እናም ማንን አለቀስከው ወይም ሊናገር አልቻለም?
ham,"እሱ ስለ & lt መውሰድ አለበት, # & GT;ደቂቃ"
spam,"ከ U4 ትንሽ ጊዜ አልሰማም.የግዴታ የውይይት የውይይት መስመር 01223585334444444WAN 2C የእኔ LASTIN PESTIN የተዘበራረቀ የ ""PESTIN"" PESGIN PEST PEST PEST PIX ወደ 8552. 2 ኛ ላክ"
spam,<ከ 888777> ነፃ የመግቢያ ግቤት ወደ £ 250 ሳምንታዊ ኮምፖት ወደ 88877 ያስገቡት.18 T & C w & C
ham,ጨርስ ... u?
spam,88066 ከ 88066 የጠፋ 3 ቶን እገዛ
spam,ተንቀሳቃሽ 11 ሰማዎችዎ ነበሩት?ለፀባይ ወደ ኦሪካንቶች የቅርብ ጊዜ የካሜራ ሞባይሎች እና ያልተገደበ የሳምንቱ መጨረሻ ጥሪዎች.በተንቀሳቃሽ ስልክ ዝመናዎች ላይ ይደውሉ Freefone 08000839402 ወይም 2Stoptx
ham,"ሄይ ልጅ, እንዴት ነህ?ኡንት ኡል 2 2nite ፍቅር አኒ ኤክስ."
spam,1 አዲስ መልእክት አለህ.እባክዎን 08718738034 ይደውሉ.
ham,ታዲያስ ፍቅረኛዬ ጥሩ ጊዜ እንዳለህ ተስፋ አደርጋለሁ.መቼ መቼ ነው እና መቼ ቤት ውስጥ ጥሪ ሊሰጡኝ ይችላሉ?ጄሲ xx
spam,<ከ 2187000000> ተስተላለፈ - ይህ የእርስዎ የመልእክት ሳጥን መላኪያ የኤስኤምኤስ ማንቂያ ነው.4 መልእክቶች አሉዎት.21 ግጥሚያዎች አለዎት.መልዕክቶችዎን እና ግጥሚያዎችዎን ለማምጣት እባክዎን በ 0905624242159 ይደውሉ
spam,"እንኳን ደስ አለዎት!የ 1 ዓመት ልዩ ሲኒማ ፓስፖርት ለ 2 የእርስዎ ነው.ይደውሉ 09061209466 ይደውሉ!ሐ Suder ርማን v, ማትሪክ 3, ስታር ጦር 3, ወዘተ ሁሉም 4 ነፃ!BX420-ip4-5-150 ፒ.እንዳያመልጥዎት!"
spam,"የ CDS 4 አቅርቦት $ 500 እና የ £ 100 ሳምንታዊ ሳምንታዊ የ £ 100 ሳምንታዊ የ ""£ 100 ሳምንታዊ የ"" ext ሙዚቃን ወደ 87066 TS ""እና CS wits.subs16 + 1wine150ps150P150ps"
spam,የ Cornowel አዲሶቹ ዱካ ማን እንደሆነ ካወቁ Moby Pube.win £ 100 ከፍተኛ የጎዳና ሽልማት ሽልማት ይሆናሉ?የመጀመሪያ ስሙን ወደ 82277.unube የመጀመሪያ ስም £ 1.50 008704050406 SP ቀስት
ham,"እኔ 2 የመኝታ ቦርሳዎች, 1 ብርድልብስ እና የወረቀት እና የስልክ ዝርዝሮች አሉኝ.ሌላ ነገር?"
spam,የኖኪያ 7250i ን ኖኒያ አሸንፈዋል.የእኛ ነፃ ጨረታ ሲያሸንፉ ያገኙት ይህ ነው.መከፋፈልን ለመውሰድ አሁን Nokia ወደ 86021 ይላኩ.HG / Suite342 / 2SLES ረድፍ / W1JHL 16+
spam,"እንኳን ደስ አለዎት!ለጓደኛዎ አመሰግናለሁ £ 2,000 የ Xmas ሽልማቶችን አሸንፈዋል.2 የይገባኛል ጥያቄ ቀላል ነው, አሁን 08718726971 ይደውሉ!በደቂቃ 10 ፒ ብቻ.BT-ብሔራዊ ደረጃ."
spam,"tddneswlet@emc1.co.co.k (ከዶዲያድድ ተጨማሪ ጨዋታዎች) ውድ ሔለን, በደርዘን የሚቆጠሩ ነፃ ጨዋታዎች - ከታላቅ ሽልማቶች .."
spam,"አጣዳፊ!የተንቀሳቃሽ ስልክ ቁጥርዎ ****************** 10000 የጉርሻ ደዋይ ሽልማት በ 10/06/03 አሸነፈ!ይህ እርስዎን ለማግኘት የ 2 ኛ ሙከራ ነው!ይደውሉ 09066368753 ASAP!ሣጥን 97n7NQP, 150 ppm"
spam,በብርቱካናማ ወይም በ 1/2 ዋጋው መስመር ወይም በ 1/2 ዋጋው መስመር ላይ ያሉ ደቂቃዎችዎን እና TOXYSON ን ያሽከርክሩ
spam,"እንደ ምንም ገደቦች እንደሌሉ ብዙ የስልክ ጥሪዎችን ያውርዱ, 1000s 2 ይምረጡ.እርስዎ 2 ዓመት ቡድኖችን እንኳን መላክ ይችላሉ.Txt Sirth ወደ 80082 £ 3 £ 3"
ham,ጥሩ ነው.ወሎህ እንዴ አት ነበር?
spam,እባክዎን እርስዎን እየጠበቁ አስቸኳይ መልእክት እንዳለ ወዲያውኑ እባክዎን 08712402902 ይደውሉ.
spam,"ከሃሎዊን እና የስዕል መልእክት ጋር የሃሎዊን ስብስብ እና የነፃ eliie ድምጽ, የ THEX ካርድ በ 8007 ZED 087014170p"
spam,"ቅ asy ት እግር ኳስ በቴሌቪዥንዎ ተመልሷል.በ Sky ንቁ ወደ Sky Getstar ይሂዱ እና £ 250k ድል ቡድን ይጫወቱ.ማቅረቢያ ቅዳሜ ቀን ይጀምራል, ስለሆነም አሁን ይመዝገቡ! መጫዎቻ ወደ 88088"
spam,የፎን ክበብ: - የእርስዎ ድርዝሮች አሁን ከ 2 ዳቦ-መደብር / ፔንሲኤስ ወይም ፖሊቲ 4 MONOS ወይም Polyc 1 ሳምንቶች 1 ሳምንታዊ @ 150p በሳምንት 2 ሳምንታዊ @ 50 ፒ ያቆሙ
spam,የ XMAS ሽልማትእኛን ለማነጋገር እየሞከርን ነው እኛ ዛሬ የ £ 2000 ሽልማት የተረጋገጠ መሆኑን ያሳያል.ከመሬት መስመር 09058094565 ይደውሉ.ትክክለኛ 12 ሰከንዶች ብቻ
spam,አዎ!በከተማ ውስጥ የሚገኘው ብቸኛ አዋቂዎች ብቸኛ ቦታ አሁን በዩኬ ውስጥ ነው.TXT ውይይት ወደ 86688!150p / msg.
spam,"አንድ ሰው የፍቅር ጓደኝነት አገልግሎታችንን አነጋግሯል እና ስልክዎን ቤክዮቱሽዎ ተወዳጅነትዎ ገባ!ከመሬት መስመር 09058098002. Pobox1, w14rg 150p ን ለማወቅ"
spam,ሕፃን: - ጤነኛ ሴት ልጅ አልፈልግም!እኔ መጥፎ እና አንድ ነገር አለኝ 4 አስወቂዎች.በፍትወት ወሲባዊ ብክቴሽ ውስጥ አንድ መጥፎ ጊዜን.እንዴት ነው SLONE DATHER!TXT XXX Sol (4mss)
spam,አላውቀውም እና አላውቃቸውም.አሁን ከውጭ ወደ 86688 ላክ እና እርስ በእርስ እንገኝ!150p / msg rcvd ብቻ.HG / Suite342 / 2 CLES / PROLE / W1j6hl ldn.18 ዓመት ወይም ከዚያ በላይ.
spam,ለማካካሻ የጽሑፍ ምስጋናዎችዎ የኤስኤምኤስ አገልግሎቶች Pls Movento Wwto.comcuct.necting 3 ኪ.ግ.
spam,የቫለንታይን ቀን ልዩ!በጥያቄዎቻችን ውስጥ ከ £ 1000 በላይ ማሸነፍ እና አጋርዎን በሕይወት ዘመናቸው ጉዞ ላይ እንወስዳለን!ወደ 83600 ይሂዱ.150p / msg rcvd.CUSUSCARE: 08718720201
spam,ማን ነኝ?እኔ አስተያየትዎን እጠብቃለሁ.ጓደኛህ መሆን እፈልጋለሁ 1/1
spam,"ለ ዑርት £ 250 ዶላር ገንዘብ ማሸነፍ, እስከ 83370. ያጫውት: የ 83370. T & C's sw.music-atrivia.net cutscaccare 0871570502020502050, 1x150p / WK."
spam,"የመጨረሻ ዕድል!ዛሬ £ 150 ዋጋ ያለው የቅናሽ ቫውቸሮች ዛሬ!አዎ አዎ 85023!ሳቫሞብ, አባል ተንቀሳቃሽ ስም ይሰጣል!T cs savamob Pox84, M263uz.£ 3.00 ንዑስ አጠባበቅ"
spam,የኖቪያ አርማ ስዕል መልእክት እና ነፃ የኤች.አይ.ፒያ የአሪዮ ስዕል መልእክት እና ነፃ የኤች.አይ.ፒ.
spam,"አጣዳፊ!ከመሬት መስመር 09066612661 ይደውሉ.ማሟያዎ 4 * የዕድገትዎ (£ 10,000) የ £ 10,000 የገንዘብ ድጋፍ አሰባሰብ SEE & CS POS & CS POS & CS149PX139PHM 18+ ላኪ"
spam,አሸናፊ!እንደ ዋጋ ያለው አውታረ መረብ ደንበኛ እርስዎ £ 900 ሽልማት ለመቀበል ተመርጠዋል!ጥሪን ለመሰብሰብ 0906171701444. ተቀባይነት ያለው ለ 24 ሰዓታት ብቻ.Acl03530150 PM
spam,U Nokia 6230 ሲደመር ነፃ ዲጂታል ካሜራ አግኝተዋል.ነፃ ጨረታችንን ሲያሸንፉ የሚያገኙት ይህ ነው.ለመሳተፍ Nokia ወደ 83383 ይልካል.Pox114 / 14TCR / W1 16
spam,ነፃ ግቤት ወደ £ 250 ሳምንታዊ ክምችት ድረስ ቃሉን አሁን ወደ 80086 አሸናፊ ይላኩ.18 T & C www.ttttowin.uk
spam,"ጽሑፍ 82228 >> ተጨማሪ የስልክ ጥሪ ድምፅ, አርማዎች እና ጨዋታዎች ከ www.xx8222.2.com.ጥያቄዎች info@txt82228.Co.uk"
spam,"Freemsg ነፃ አነስተኛ ዲጂታል ካሜራ ተሸልመዋል, በቃ ሽልማትዎን ለመሰብሰብ SNAP ምላሽ ይስጡ!(QuizClub's? ማቆም 801222300P / WK SP: RWM PH: 0870405050606)"
spam,ይህ መልእክት በ GMW LTD ውስጥ ወደ እርስዎ ይመጣዎታል. እና ከ ጋር አልተገናኘም
spam,"ኮንሰርት 2 ሞባይል 3 ጂ ቪዲዮዎችን አር ያሳድጉ.አሁን 090634581010 ይደውሉ!የቪዲዮ ቻት ቻት ዩኤስ የትዳር ጓደኛሞች, የጃቫ ጨዋታዎች, የ Polyph ሙዚቃ, የመስመር ኪራይ, የመስመር ኪራይBX420.ip4.5 እኛ.150p"
spam,ቀጣዩ አስገራሚ የ XXX Picsfree1 ቪዲዮ ይደሰታል!የሚቀጥለውን ቪዲዮ ለማግኘት አንድ Vid ለ 2 ቀናት ጽሑፍ ለ 2 ቀናት ጽሑፍ ኋላ የሚጀምር ከሆነ.
spam,ወደ 83435 እስኪያቆሙ ድረስ በእንግሊዝ ውስጥ ለድውራዊ የሞባይል ይዘት አገልግሎት ከ £ 3 ጋር ተመዝግበዋል. እገዛ 08706091795.
spam,"3 ነፃ ታሮ ፅሁፎች!ስለ ፍቅርዎ ሕይወት አሁን ይወቁ!3 በነፃ ይሞክሩ!የጽሑፍ ዕድል ወደ 855555 16 ብቻ ነው!ከ 3 ነፃ, MSGS £ 1.50 እያንዳንዱ"
spam,የዩኬን ቀሚስ ቀሚስ እና የ sex ታ ግንኙነት ሊፈጥር ይችላል!መመሪያዎችን ብቻ ይመዝገቡ እና ይከተሉ.TXT እስከ 69888 ይግቡ!NYT.EC.C2A.3lp.3lp.msg@150p
spam,የፀሐይ ብርሃን ጥያቄ Q!ከየትኛው የሀገር ሳምንት ውስጥ የትኛው ሀገር ውስጥ እንደሚጫወቱ ያውቃሉ?TXT anser ወደ 82277. £ 1.50 SP: Tyrone
spam,"ወደ 80082 ወደ 80082 ለመግባት ወደ 80082 ለመግባት ወደ 80082 የ £ 250 የ ""£ 250 የ"" £ ""NERORS"" ማከማቻ.T & Cs www.vkls.com ዕድሜ 1 ከ 1.50 / ሳምንት"
ham,አዎ.ሁሉም ንጹህ አዝናኝ ነው.O :-)
ham,ይህንን የአእምሮ ችሎታ ጥያቄ ስለላኩ አመሰግናለሁ ..
ham,"ጌታዬ, ቀንዎ በቀስታ እንደሚሄድ ተስፋ እናደርጋለን.ስለዚህ ጉዳይ እኔ ስለማልችል በእውነት ተስፋ አደርጋለሁ.በዚህ ወር ውስጥ መፍታት የማልችለው አንዳንድ ሂሳቦች አሉኝ.ከሁሉም ተጨማሪ ገንዘብ ውጭ ነኝ.ይህ ለእርስዎ ፈታኝ ጊዜ እንደሆነ አውቃለሁ, ግን ማወቁ አለብኝ."
ham,2 ጅራሮ ብቻ.በ & lt; # & gt;ወደ 2 አሃ.
ham,ወደ ur hon ላብራቶቼ ሄድኩ ግን ማንም የለም.
ham,አሁን ስልኩን መምረጥ አልችልም.እባክዎን መልእክት ይላኩ
ham,ሄይ ፒፕ ... $ 700 ወይም $ 900 ወይም $ 900 ለ 5 ምሽቶች ... እጅግ በጣም ጥሩ አካባቢ ጩኸት !!!
spam,<ከ 2187000000> ተስተላለፈ - ይህ የእርስዎ የመልእክት ሳጥን መላኪያ የኤስኤምኤስ ማንቂያ ነው.40 ግጥሚያዎች አሉዎት.መልዕክቶችዎን ለማምጣት እና CC100P / ደቂቃዎችን ለማግኘት እባክዎን በስልክ ቁጥር 09056242159 ይደውሉ
ham,እንዴት ሆኖ?
ham,Lol!ናህ በጣም መጥፎ አልነበሩም.ለቤት ወደ ቤት ጥሩ ነው ግን በእውነቱ በእውነቱ የእውነታ ምርመራ.የ j ቀን እንዴት ነበር?በድር ጣቢያ ምንም ነገር አላደረጉም?
ham,እሺ ...
ham,እራት ወደ ቤት እመጣለሁ.
ham,Se de..al r ከላይ & lt; # & gt;
spam,"ነፃ የስልክ ቀለበት ምናሌ ""ፖሊሶች"" እስከ 87131. ከዚያ በየሳምንቱ አዲስ ድምጽ ያግኙ.087073791021116YRS £ 1.50 / WK ብቻ."
ham,Unni ስለ መሙላቱ ውድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድድል
ham,"እኔ አብዛኛው የዚህ ልዩ ድርድሬሽን ዝርዝሮች እጎተቼ እንደሆንኩ አውቃለሁ, ግን ስለዚያ በጣም ተጨንቄ አልጨነቅም"
ham,ሃሃ ... ምን ...?
ham,"ሄይ እዚያ!አሁን በጣም ጥሩ.እኔ እራሴን ለ dighi CAM ስለታከብር እሰማለሁ, ጥሩ ነው?እኛ በ 9 ፒ.በጥቂት ሳምንታት ውስጥ FAB አዲስ ዓመት ይሁንላችሁ!"
ham,ወደዚያ እመለሳለሁ!
spam,"አጣዳፊ!ተንቀሳቃሽ ስልክዎ 077xxx በ 02/06/03 ላይ £ 2,000 የጉርሻ ደዋይ ሽልማት አግኝቷል!ይህ እርስዎን ለማግኘት የ 2 ኛ ሙከራ ነው!ይደውሉ 09066362206 አሱሣጥን97n7n7PP, 150 ፒፒኤም"
ham,ጌታዬን እደውልልሻለሁ.በስብሰባው ላይ
ham,"እኔ መስማት የምወዳቸው ያ ነው - v እሑድ እንገናኝ, ከዚያ"
ham,"አዝናለሁ DA Shungam, በጣም በጣም ይቅርታ, እኔ ከ Prasad ጋር ተገናኘሁ."
ham,በጥንታዊ እና በኮኪ መካከል እስከ rcb.bather ድረስ
ham,በአልጋ ላይ ያሉ እግዚአብሔርን እናመሰግናለን!
ham,አይ ካንሰር የለኝም.ከእናቶች መደበኛ ምርመራ AKA ፓፒ ምርመራ
ham,በ Gobi ext Co ኮሌጅ ውስጥ ነኝ
ham,ለምን እኔን ማነጋገር ትፈልጋለች
ham,ፓይንድ ዛሬ 4w ቴክኖሎጂዎችን ተቀላቅሏል.
spam,"የቅርብ ጊዜ የኖኪያ ስልክ, 40 ጊባ አይፖዲ MP3 ማጫወቻ ወይም £ 500 ሽልማት ዋስትና ተሰጥቷቸዋል.TXT ቃል: - አይበሉ 83355!IBHHTD LDNW15h50p / mtmsgrcvD18"
ham,መሞከር ይችላሉ!በእውነቱ ሊጠፉ ይችላሉ.Teee
ham,"ሃይ!እርስዎ ለማነኔያን ተነጋግረው ነበር, በግምታው ረክተው ቢሆኑ ማወቅ እንፈልጋለን.ከ አዎንታዊ ወይም ከ NORE ነፃ መልስ ይስጡ"
ham,ጓደኞቼ አንድ ዓይነት እንዲደውሉ ይጠቀማሉ.
ham,"ይቅርታ, በኋላ እደውላለሁ"
ham,"ኤም, ኦሎዶዲ @ አሜሪካ .. በአርጀንቲና ውስጥ ጥሩ ጊዜ አለን.ስለ ጸሐፊ አይደለም, ሁሉም ነገር በረከት ነው"
ham,እሱ የጽሑፍ መልእክት ነው .... ታሊም argh እሺ!እነሆ!
ham,"ታዲያስ, እባክህን አንድ & lt ያግኙ, # & GT;የዶላር ብድር ከእርስዎI.LLD በየካቲት መሃል እከፍልዎታለሁ.Pls."
ham,"ምናልባት ከቻሉ የበለጠ ማቀድ ይፈልጉ ይሆናል እና ዝም ካሉዎት እቅድ ማውጣት, በዲክ እና ቴይለር ገንዘብ አያያዝ ውስጥ ብዙም እምነት የለኝም"
ham,በዳንኪው ወለል ላይ ምርኮዎን መንከባከቡ ይፈልጋሉ?
ham,"ሲወጡ በላክልኝ, ስልኮች, ስልኮች አይገፉም"
ham,መድሃኒቱ ከእንግዲህ አያስፈልግም.
ham,ይቅርታ DA :) ብዙ ጊዜዎችን ስለ መደወል ተሰብስቤ ነበር-
ham,አሻንጉሊት ነው
ham,በጣም ጥሩ!አሁን ttyl መሮጥ አለብኝ!
ham,እንደገና እንደ ኬዲም እንደ መሞከር ይሰማዎታል?: V
ham,ቶክ እና ዘግይቶ; # & ኪት;ቀን ይኑርዎት.
ham,ገና ቺኪኩ u.wat byt u?
ham,እሺ ...
ham,እስከዛሬ ድረስ ምሳ መብላት ይፈልጋሉ?
ham,አባቴ መቼ እንደሚመለስ ታውቃለህ?
spam,"ጤና ይስጥልኝ ፍቅረኛዬ ዛሬ እንዴት ነህ?ውይይት ማድረግ ደስ ይለኛል, ለምን እንደፈለጉ እና ምን እንደሚመስሉ ለምን እንደ ጾታ አይነግሩኝም?"
spam,8007 ለ 1 ኛ ሳምንት ነፃ!የለም 1 Nokia በየሳምንቱ ድምጸ-ከልው ወደ 8007 ዩ.አር.ኤል.
